"","date","Team","Opponent","Player","#","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"90","July-27-2023","Netherlands","United States","Daphne van Domselaar","1","GK","23-143","90","0","0","0","0","0","0","0","0","36","0","0","0","0.0","0.0","0.0","0","0","14","33","42.4","0","13","0","0","0"
"91","August-6-2023","Sweden","United States","Stina Blackstenius","11","FW","27-182","111","0","0","0","0","3","0","0","0","33","1","0","1","0.4","0.4","0.0","2","0","15","20","75.0","0","18","0","3","1"
"92","August-6-2023","Sweden","United States","Rebecka Blomqvist","15","FW","26-013","9","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0"
"93","August-6-2023","Sweden","United States","Fridolina Rolfö","18","LW,FW","29-255","120","0","0","0","0","1","0","0","0","66","4","0","2","0.1","0.1","0.0","4","0","30","44","68.2","4","32","1","2","1"
"94","August-6-2023","Sweden","United States","Johanna Rytting Kaneryd","19","RW","26-175","81","0","0","0","0","0","0","0","0","30","0","0","1","0.0","0.0","0.0","1","0","15","21","71.4","1","16","1","2","1"
"95","August-6-2023","Sweden","United States","Sofia Jakobsson","10","RW,RM","33-105","39","0","0","0","0","1","1","0","0","18","1","0","2","0.0","0.0","0.1","1","0","7","10","70.0","1","9","2","1","0"
"96","August-6-2023","Sweden","United States","Kosovare Asllani","9","AM","34-008","81","0","0","0","0","0","0","1","0","32","3","0","1","0.0","0.0","0.4","3","0","13","19","68.4","5","22","3","3","1"
"97","August-6-2023","Sweden","United States","Lina Hurtig","8","AM,LM","27-335","39","0","0","0","0","0","0","0","0","21","0","0","2","0.0","0.0","0.0","0","0","5","12","41.7","0","9","0","1","0"
"98","August-6-2023","Sweden","United States","Elin Rubensson","23","DM,CM","30-087","120","0","0","0","0","2","0","0","0","62","2","5","3","0.1","0.1","0.0","1","0","28","44","63.6","3","24","0","0","0"
"99","August-6-2023","Sweden","United States","Filippa Angeldahl","16","DM","26-023","96","0","0","0","0","2","0","0","0","57","2","1","1","0.0","0.0","0.0","0","0","20","39","51.3","5","28","2","4","1"
"100","August-6-2023","Sweden","United States","Hanna Bennison","20","CM,DM","20-294","24","0","0","0","0","0","0","0","0","12","0","0","0","0.0","0.0","0.0","0","0","4","8","50.0","0","7","0","1","0"
"101","August-6-2023","Sweden","United States","Jonna Andersson","2","LB","30-216","120","0","0","0","0","0","0","0","0","86","5","2","1","0.0","0.0","0.0","1","0","41","63","65.1","3","26","1","1","1"
"102","August-6-2023","Sweden","United States","Magdalena Eriksson","6","CB","29-332","120","0","0","0","0","0","0","0","0","55","1","1","1","0.0","0.0","0.0","0","0","32","41","78.0","3","27","0","0","0"
"103","August-6-2023","Sweden","United States","Amanda Ilestedt","13","CB","30-201","120","0","0","0","0","0","0","0","0","69","2","1","1","0.0","0.0","0.0","0","0","46","52","88.5","0","40","0","0","0"
"104","August-6-2023","Sweden","United States","Nathalie Björn","14","RB","26-094","120","0","0","0","0","0","0","0","0","88","2","0","0","0.0","0.0","0.0","0","0","61","79","77.2","7","47","1","0","0"
"105","August-6-2023","Sweden","United States","Zećira Mušović","1","GK","27-072","120","0","0","0","0","0","0","0","0","46","0","0","0","0.0","0.0","0.0","1","0","21","38","55.3","0","17","0","0","0"
"106","August-6-2023","United States","Sweden","Alex Morgan","13","FW","34-035","98","0","0","0","0","3","3","0","0","40","0","2","0","0.2","0.2","0.1","4","0","16","28","57.1","4","20","1","3","1"
"107","August-6-2023","United States","Sweden","Megan Rapinoe","15","FW","38-032","22","0","0","0","0","0","0","0","0","18","0","0","0","0.0","0.0","0.0","0","0","7","16","43.8","1","9","2","2","2"
"108","August-6-2023","United States","Sweden","Sophia Smith","11","LW","22-361","120","0","0","0","0","4","2","0","0","57","3","0","2","0.2","0.2","0.1","4","0","18","31","58.1","5","34","4","8","5"
"109","August-6-2023","United States","Sweden","Trinity Rodman","20","RW","21-078","65","0","0","0","0","3","2","0","0","41","0","1","1","0.1","0.1","0.0","3","0","22","29","75.9","1","22","3","7","5"
"110","August-6-2023","United States","Sweden","Lynn Williams","6","RW","30-077","55","0","0","0","0","3","2","0","0","35","2","0","1","0.2","0.2","0.2","7","0","13","22","59.1","3","18","4","4","2"
"111","August-6-2023","United States","Sweden","Lindsey Horan","10","AM","29-072","120","0","0","0","0","4","1","0","0","87","2","2","3","0.4","0.4","0.0","5","0","43","68","63.2","12","48","4","2","1"
"112","August-6-2023","United States","Sweden","Andi Sullivan","17","DM","27-229","120","0","0","0","0","2","0","0","0","82","8","2","0","0.1","0.1","0.2","4","0","49","65","75.4","7","33","0","4","3"
"113","August-6-2023","United States","Sweden","Emily Sonnett","14","DM","29-254","119","0","0","0","0","1","0","0","0","80","2","2","2","0.0","0.0","0.0","1","0","57","64","89.1","6","35","0","2","2"
"114","August-6-2023","United States","Sweden","Kristie Mewis","22","DM","32-162","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0"
"115","August-6-2023","United States","Sweden","Crystal Dunn","19","LB","31-034","120","0","0","0","0","0","0","0","0","70","3","0","3","0.0","0.0","0.0","0","0","47","56","83.9","8","26","0","6","3"
"116","August-6-2023","United States","Sweden","Naomi Girma","4","CB","23-053","120","0","0","0","0","0","0","0","0","108","2","1","0","0.0","0.0","0.0","1","0","74","99","74.7","7","70","1","0","0"
"117","August-6-2023","United States","Sweden","Julie Ertz","8","CB","31-122","120","0","0","0","0","2","1","1","0","74","1","0","6","0.0","0.0","0.0","0","0","47","59","79.7","1","41","0","1","1"
